sku,name,product_code,parent_sku,parent_name,safco_item_number,product_name,manufacturer_number,brand,retailer,description,size,pack_quantity,pack_unit,price,price_text,currency,availability,availability_label,parent_description,category_path_str,product_url,image_urls_str,variant_image,is_synthetic,source_seed,extracted_at
4680732,Alasta gloves large 100/box,4680732,DRCAN,Alasta,4680732,Alasta gloves large 100/box,ALS100L,Dash,Safco Dental,"Large, 100/box",Large,100,box,10.49,10.490000,,in_stock,In stock,Soft-Fit™ powder-free nitrile exam gloves. Textured whole hand finish Beaded cuff Non-chlorinated Ambidextrous Blue color Thickness: at palm 3.1 mils; at fingertip 3.9 mils; ± 1.2 Order 10 boxes to purchase a case,Dental Supplies > Dental Exam Gloves > Nitrile gloves,https://www.safcodental.com/product/alasta-sup-reg-sup,"https://www.safcodental.com/media/catalog/product/d/r/drcan.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds | https://www.safcodental.com/media/catalog/product/d/r/drcan.jpg?optimize=medium&fit=bounds&height=265&width=265&canvas=265:265 | https://www.safcodental.com/media/catalog/product/d/r/drcan.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700",,0,gloves,2026-05-07T01:32:43.623569+00:00
4681111,Alasta gloves large 200/box,4681111,DRCAN,Alasta,4681111,Alasta gloves large 200/box,ALS200L,Dash,Safco Dental,"Large, 200/box",Large,200,box,20.99,20.990000,,in_stock,In stock,Soft-Fit™ powder-free nitrile exam gloves. Textured whole hand finish Beaded cuff Non-chlorinated Ambidextrous Blue color Thickness: at palm 3.1 mils; at fingertip 3.9 mils; ± 1.2 Order 10 boxes to purchase a case,Dental Supplies > Dental Exam Gloves > Nitrile gloves,https://www.safcodental.com/product/alasta-sup-reg-sup,"https://www.safcodental.com/media/catalog/product/d/r/drcan.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds | https://www.safcodental.com/media/catalog/product/d/r/drcan.jpg?optimize=medium&fit=bounds&height=265&width=265&canvas=265:265 | https://www.safcodental.com/media/catalog/product/d/r/drcan.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700",,0,gloves,2026-05-07T01:32:43.623569+00:00
4680726,Alasta gloves medium 100/box,4680726,DRCAN,Alasta,4680726,Alasta gloves medium 100/box,ALS100M,Dash,Safco Dental,"Medium, 100/box",Medium,100,box,10.49,10.490000,,backorder,Backorder,Soft-Fit™ powder-free nitrile exam gloves. Textured whole hand finish Beaded cuff Non-chlorinated Ambidextrous Blue color Thickness: at palm 3.1 mils; at fingertip 3.9 mils; ± 1.2 Order 10 boxes to purchase a case,Dental Supplies > Dental Exam Gloves > Nitrile gloves,https://www.safcodental.com/product/alasta-sup-reg-sup,"https://www.safcodental.com/media/catalog/product/d/r/drcan.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds | https://www.safcodental.com/media/catalog/product/d/r/drcan.jpg?optimize=medium&fit=bounds&height=265&width=265&canvas=265:265 | https://www.safcodental.com/media/catalog/product/d/r/drcan.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700",,0,gloves,2026-05-07T01:32:43.623569+00:00
4681108,Alasta gloves medium 200/box,4681108,DRCAN,Alasta,4681108,Alasta gloves medium 200/box,ALS200M,Dash,Safco Dental,"Medium, 200/box",Medium,200,box,20.99,20.990000,,in_stock,In stock,Soft-Fit™ powder-free nitrile exam gloves. Textured whole hand finish Beaded cuff Non-chlorinated Ambidextrous Blue color Thickness: at palm 3.1 mils; at fingertip 3.9 mils; ± 1.2 Order 10 boxes to purchase a case,Dental Supplies > Dental Exam Gloves > Nitrile gloves,https://www.safcodental.com/product/alasta-sup-reg-sup,"https://www.safcodental.com/media/catalog/product/d/r/drcan.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds | https://www.safcodental.com/media/catalog/product/d/r/drcan.jpg?optimize=medium&fit=bounds&height=265&width=265&canvas=265:265 | https://www.safcodental.com/media/catalog/product/d/r/drcan.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700",,0,gloves,2026-05-07T01:32:43.623569+00:00
4680720,Alasta gloves small 100/box,4680720,DRCAN,Alasta,4680720,Alasta gloves small 100/box,ALS100S,Dash,Safco Dental,"Small,100/box",Small,100,box,10.49,10.490000,,backorder,Backorder,Soft-Fit™ powder-free nitrile exam gloves. Textured whole hand finish Beaded cuff Non-chlorinated Ambidextrous Blue color Thickness: at palm 3.1 mils; at fingertip 3.9 mils; ± 1.2 Order 10 boxes to purchase a case,Dental Supplies > Dental Exam Gloves > Nitrile gloves,https://www.safcodental.com/product/alasta-sup-reg-sup,"https://www.safcodental.com/media/catalog/product/d/r/drcan.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds | https://www.safcodental.com/media/catalog/product/d/r/drcan.jpg?optimize=medium&fit=bounds&height=265&width=265&canvas=265:265 | https://www.safcodental.com/media/catalog/product/d/r/drcan.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700",,0,gloves,2026-05-07T01:32:43.623569+00:00
4681105,Alasta gloves small 200/box,4681105,DRCAN,Alasta,4681105,Alasta gloves small 200/box,ALS200S,Dash,Safco Dental,"Small, 200/box",Small,200,box,20.99,20.990000,,in_stock,In stock,Soft-Fit™ powder-free nitrile exam gloves. Textured whole hand finish Beaded cuff Non-chlorinated Ambidextrous Blue color Thickness: at palm 3.1 mils; at fingertip 3.9 mils; ± 1.2 Order 10 boxes to purchase a case,Dental Supplies > Dental Exam Gloves > Nitrile gloves,https://www.safcodental.com/product/alasta-sup-reg-sup,"https://www.safcodental.com/media/catalog/product/d/r/drcan.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds | https://www.safcodental.com/media/catalog/product/d/r/drcan.jpg?optimize=medium&fit=bounds&height=265&width=265&canvas=265:265 | https://www.safcodental.com/media/catalog/product/d/r/drcan.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700",,0,gloves,2026-05-07T01:32:43.623569+00:00
4681210,Alasta nitrile gloves x-large 100/bx,4681210,DRCAN,Alasta,4681210,Alasta nitrile gloves x-large 100/bx,ALS100XL,Dash,Safco Dental,"X-Large, 100/box",X-Large,100,box,10.49,10.490000,,in_stock,In stock,Soft-Fit™ powder-free nitrile exam gloves. Textured whole hand finish Beaded cuff Non-chlorinated Ambidextrous Blue color Thickness: at palm 3.1 mils; at fingertip 3.9 mils; ± 1.2 Order 10 boxes to purchase a case,Dental Supplies > Dental Exam Gloves > Nitrile gloves,https://www.safcodental.com/product/alasta-sup-reg-sup,"https://www.safcodental.com/media/catalog/product/d/r/drcan.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds | https://www.safcodental.com/media/catalog/product/d/r/drcan.jpg?optimize=medium&fit=bounds&height=265&width=265&canvas=265:265 | https://www.safcodental.com/media/catalog/product/d/r/drcan.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700",,0,gloves,2026-05-07T01:32:43.623569+00:00
4681112,Alasta gloves x-large 200/box,4681112,DRCAN,Alasta,4681112,Alasta gloves x-large 200/box,ALS200XL,Dash,Safco Dental,"X-large, 200/box",X-large,200,box,20.99,20.990000,,in_stock,In stock,Soft-Fit™ powder-free nitrile exam gloves. Textured whole hand finish Beaded cuff Non-chlorinated Ambidextrous Blue color Thickness: at palm 3.1 mils; at fingertip 3.9 mils; ± 1.2 Order 10 boxes to purchase a case,Dental Supplies > Dental Exam Gloves > Nitrile gloves,https://www.safcodental.com/product/alasta-sup-reg-sup,"https://www.safcodental.com/media/catalog/product/d/r/drcan.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds | https://www.safcodental.com/media/catalog/product/d/r/drcan.jpg?optimize=medium&fit=bounds&height=265&width=265&canvas=265:265 | https://www.safcodental.com/media/catalog/product/d/r/drcan.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700",,0,gloves,2026-05-07T01:32:43.623569+00:00
4680714,Alasta gloves x-small 100/box,4680714,DRCAN,Alasta,4680714,Alasta gloves x-small 100/box,ALS100XS,Dash,Safco Dental,"X-small, 100/box",X-small,100,box,10.49,10.490000,,in_stock,In stock,Soft-Fit™ powder-free nitrile exam gloves. Textured whole hand finish Beaded cuff Non-chlorinated Ambidextrous Blue color Thickness: at palm 3.1 mils; at fingertip 3.9 mils; ± 1.2 Order 10 boxes to purchase a case,Dental Supplies > Dental Exam Gloves > Nitrile gloves,https://www.safcodental.com/product/alasta-sup-reg-sup,"https://www.safcodental.com/media/catalog/product/d/r/drcan.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds | https://www.safcodental.com/media/catalog/product/d/r/drcan.jpg?optimize=medium&fit=bounds&height=265&width=265&canvas=265:265 | https://www.safcodental.com/media/catalog/product/d/r/drcan.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700",,0,gloves,2026-05-07T01:32:43.623569+00:00
4681102,Alasta gloves x-small 200/box,4681102,DRCAN,Alasta,4681102,Alasta gloves x-small 200/box,ALS200XS,Dash,Safco Dental,"X-small, 200/box",X-small,200,box,20.99,20.990000,,in_stock,In stock,Soft-Fit™ powder-free nitrile exam gloves. Textured whole hand finish Beaded cuff Non-chlorinated Ambidextrous Blue color Thickness: at palm 3.1 mils; at fingertip 3.9 mils; ± 1.2 Order 10 boxes to purchase a case,Dental Supplies > Dental Exam Gloves > Nitrile gloves,https://www.safcodental.com/product/alasta-sup-reg-sup,"https://www.safcodental.com/media/catalog/product/d/r/drcan.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds | https://www.safcodental.com/media/catalog/product/d/r/drcan.jpg?optimize=medium&fit=bounds&height=265&width=265&canvas=265:265 | https://www.safcodental.com/media/catalog/product/d/r/drcan.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700",,0,gloves,2026-05-07T01:32:43.623569+00:00
