sku,name,product_code,parent_sku,parent_name,safco_item_number,product_name,manufacturer_number,brand,retailer,description,size,pack_quantity,pack_unit,price,price_text,currency,availability,availability_label,parent_description,category_path_str,product_url,image_urls_str,variant_image,is_synthetic,source_seed,extracted_at
2545052,Barricaid standard package,2545052,PFSGL,Barricaid®,2545052,Barricaid standard package,639052,Dentsply Sirona,Safco Dental,Standard package,,,,178.49,178.490000,,backorder,Backorder,"Visible light cured periodontal dressing in a convenient syringe delivery system for direct placement onto the surgical site. Forms a firm, elastic covering. Translucent pink for superior esthetics. Tasteless.",Dental Supplies > Sutures & surgical products > Periodontal dressings,https://www.safcodental.com/product/barricaid-reg,"https://www.safcodental.com/media/catalog/product/p/f/pfsgl.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds | https://www.safcodental.com/media/catalog/product/p/f/pfsgl.jpg?optimize=medium&fit=bounds&height=265&width=265&canvas=265:265 | https://www.safcodental.com/media/catalog/product/p/f/pfsgl.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700",,0,sutures-surgical-products,2026-05-07T01:32:20.915546+00:00
6130050,CollaShield Collagen Membrane 15x20mm,6130050,PFWCC,COLLASHIELD™ Collagen Membrane,6130050,CollaShield Collagen Membrane 15x20mm,CS15X20,Surgical Esthetics,Safco Dental,15 x 20mm,,,,128.99,128.990000,,in_stock,In stock,"Fully resorbable (16 weeks) purified porcine Type-I peritoneum membrane for osteogenesis during extraction socket preservation, ridge augmentation, periodontal defect repair or other grafting procedures. Common uses: Extraction ridge preservation. Periodontal defect repair. Vertical and horizontal ridge augmentation. Bone regeneration around teeth and implants. Sinus augmentation. Membrane technique utilizing tacks. Features and benefits: Highly purified porcine peritoneum tissue. Excellent biocompatibility. Easily trimmed and adapted to defect site. Mechanically strong, yet drapable. Fully absorbable. Cell occlusive - inhibits undesired epithelial ingrowth. Can be tacked or sutured in place.",Dental Supplies > Sutures & surgical products > Bone grafting tissue augmentation,https://www.safcodental.com/product/collashield-trade-collagen-membrane,"https://www.safcodental.com/media/catalog/product/p/f/pfwcc.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds | https://www.safcodental.com/media/catalog/product/p/f/pfwcc.jpg?optimize=medium&fit=bounds&height=265&width=265&canvas=265:265 | https://www.safcodental.com/media/catalog/product/p/f/pfwcc.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700",,0,sutures-surgical-products,2026-05-07T01:32:09.630474+00:00
6130053,CollaShield Collagen Membrane 20x30mm,6130053,PFWCC,COLLASHIELD™ Collagen Membrane,6130053,CollaShield Collagen Membrane 20x30mm,CS20X30,Surgical Esthetics,Safco Dental,20 x 30mm,,,,152.99,152.990000,,in_stock,In stock,"Fully resorbable (16 weeks) purified porcine Type-I peritoneum membrane for osteogenesis during extraction socket preservation, ridge augmentation, periodontal defect repair or other grafting procedures. Common uses: Extraction ridge preservation. Periodontal defect repair. Vertical and horizontal ridge augmentation. Bone regeneration around teeth and implants. Sinus augmentation. Membrane technique utilizing tacks. Features and benefits: Highly purified porcine peritoneum tissue. Excellent biocompatibility. Easily trimmed and adapted to defect site. Mechanically strong, yet drapable. Fully absorbable. Cell occlusive - inhibits undesired epithelial ingrowth. Can be tacked or sutured in place.",Dental Supplies > Sutures & surgical products > Bone grafting tissue augmentation,https://www.safcodental.com/product/collashield-trade-collagen-membrane,"https://www.safcodental.com/media/catalog/product/p/f/pfwcc.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds | https://www.safcodental.com/media/catalog/product/p/f/pfwcc.jpg?optimize=medium&fit=bounds&height=265&width=265&canvas=265:265 | https://www.safcodental.com/media/catalog/product/p/f/pfwcc.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700",,0,sutures-surgical-products,2026-05-07T01:32:09.630474+00:00
6130056,CollaShield Collagen Membrane 30x40mm,6130056,PFWCC,COLLASHIELD™ Collagen Membrane,6130056,CollaShield Collagen Membrane 30x40mm,CS30X40,Surgical Esthetics,Safco Dental,30 x 40mm,,,,211.49,211.490000,,in_stock,In stock,"Fully resorbable (16 weeks) purified porcine Type-I peritoneum membrane for osteogenesis during extraction socket preservation, ridge augmentation, periodontal defect repair or other grafting procedures. Common uses: Extraction ridge preservation. Periodontal defect repair. Vertical and horizontal ridge augmentation. Bone regeneration around teeth and implants. Sinus augmentation. Membrane technique utilizing tacks. Features and benefits: Highly purified porcine peritoneum tissue. Excellent biocompatibility. Easily trimmed and adapted to defect site. Mechanically strong, yet drapable. Fully absorbable. Cell occlusive - inhibits undesired epithelial ingrowth. Can be tacked or sutured in place.",Dental Supplies > Sutures & surgical products > Bone grafting tissue augmentation,https://www.safcodental.com/product/collashield-trade-collagen-membrane,"https://www.safcodental.com/media/catalog/product/p/f/pfwcc.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds | https://www.safcodental.com/media/catalog/product/p/f/pfwcc.jpg?optimize=medium&fit=bounds&height=265&width=265&canvas=265:265 | https://www.safcodental.com/media/catalog/product/p/f/pfwcc.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700",,0,sutures-surgical-products,2026-05-07T01:32:09.630474+00:00
1020172-C,"Safco Sonic-Kleen 3.2L unit with basket - open box, clearance",1020172-C,BCCCC,Clearance item,1020172-C,"Safco Sonic-Kleen 3.2L unit with basket - open box, clearance",01431,,Safco Dental,"Safco Sonic-Kleen 3.2L unit with basket - open box, clearance",,,,269.99,269.990000,,in_stock,In stock,"Grab incredible deals on open-box clearance items. Shop now and save big on top-quality products. Limited stock available, so act fast! Perfect for quality and savings. These like-new items at unbeatable prices! Fully inspected and in excellent working condition. These items are all eligible for our generous Safco return and warranty policy. Please note, some may be missing minor, non-essential accessories – please contact your account manager to find out the details of the items you are interested in.",Clearance > Safco Clearance,https://www.safcodental.com/product/clearance-item,"https://www.safcodental.com/media/catalog/product/c/l/clearance-items.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds | https://www.safcodental.com/media/catalog/product/c/l/clearance-items.jpg?optimize=medium&fit=bounds&height=265&width=265&canvas=265:265 | https://www.safcodental.com/media/catalog/product/c/l/clearance-items.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700",,0,sutures-surgical-products,2026-05-07T01:31:51.154620+00:00
1020174-C,"Safco Sonic-Kleen Ultra 12.3L unit open box, clearance",1020174-C,BCCCC,Clearance item,1020174-C,"Safco Sonic-Kleen Ultra 12.3L unit open box, clearance",01432,,Safco Dental,"Safco Sonic-Kleen Ultra 12.3L unit open box, clearance",,,,699.99,699.990000,,in_stock,In stock,"Grab incredible deals on open-box clearance items. Shop now and save big on top-quality products. Limited stock available, so act fast! Perfect for quality and savings. These like-new items at unbeatable prices! Fully inspected and in excellent working condition. These items are all eligible for our generous Safco return and warranty policy. Please note, some may be missing minor, non-essential accessories – please contact your account manager to find out the details of the items you are interested in.",Clearance > Safco Clearance,https://www.safcodental.com/product/clearance-item,"https://www.safcodental.com/media/catalog/product/c/l/clearance-items.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds | https://www.safcodental.com/media/catalog/product/c/l/clearance-items.jpg?optimize=medium&fit=bounds&height=265&width=265&canvas=265:265 | https://www.safcodental.com/media/catalog/product/c/l/clearance-items.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700",,0,sutures-surgical-products,2026-05-07T01:31:51.154620+00:00
1020341-C,"Safco Influx LED curing light - open box, clearance",1020341-C,BCCCC,Clearance item,1020341-C,"Safco Influx LED curing light - open box, clearance",LED-P,,Safco Dental,"Safco Influx LED curing light - open box, clearance",,,,162.75,162.750000,,in_stock,In stock,"Grab incredible deals on open-box clearance items. Shop now and save big on top-quality products. Limited stock available, so act fast! Perfect for quality and savings. These like-new items at unbeatable prices! Fully inspected and in excellent working condition. These items are all eligible for our generous Safco return and warranty policy. Please note, some may be missing minor, non-essential accessories – please contact your account manager to find out the details of the items you are interested in.",Clearance > Safco Clearance,https://www.safcodental.com/product/clearance-item,"https://www.safcodental.com/media/catalog/product/c/l/clearance-items.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds | https://www.safcodental.com/media/catalog/product/c/l/clearance-items.jpg?optimize=medium&fit=bounds&height=265&width=265&canvas=265:265 | https://www.safcodental.com/media/catalog/product/c/l/clearance-items.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700",,0,sutures-surgical-products,2026-05-07T01:31:51.154620+00:00
1020490-C,"Safco ultrasonic scaler - open box, clearance",1020490-C,BCCCC,Clearance item,1020490-C,"Safco ultrasonic scaler - open box, clearance",SC-CL001,,Safco Dental,"Safco ultrasonic scaler - open box, clearance",,,,260.75,260.750000,,in_stock,In stock,"Grab incredible deals on open-box clearance items. Shop now and save big on top-quality products. Limited stock available, so act fast! Perfect for quality and savings. These like-new items at unbeatable prices! Fully inspected and in excellent working condition. These items are all eligible for our generous Safco return and warranty policy. Please note, some may be missing minor, non-essential accessories – please contact your account manager to find out the details of the items you are interested in.",Clearance > Safco Clearance,https://www.safcodental.com/product/clearance-item,"https://www.safcodental.com/media/catalog/product/c/l/clearance-items.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds | https://www.safcodental.com/media/catalog/product/c/l/clearance-items.jpg?optimize=medium&fit=bounds&height=265&width=265&canvas=265:265 | https://www.safcodental.com/media/catalog/product/c/l/clearance-items.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700",,0,sutures-surgical-products,2026-05-07T01:31:51.154620+00:00
2490060-C,"AeroPro basic kit, open box, clearance",2490060-C,BCCCC,Clearance item,2490060-C,"AeroPro basic kit, open box, clearance",5500500,,Safco Dental,"Basic kit, open box, clearance",,,,396.75,396.750000,,in_stock,In stock,"Grab incredible deals on open-box clearance items. Shop now and save big on top-quality products. Limited stock available, so act fast! Perfect for quality and savings. These like-new items at unbeatable prices! Fully inspected and in excellent working condition. These items are all eligible for our generous Safco return and warranty policy. Please note, some may be missing minor, non-essential accessories – please contact your account manager to find out the details of the items you are interested in.",Clearance > Safco Clearance,https://www.safcodental.com/product/clearance-item,"https://www.safcodental.com/media/catalog/product/c/l/clearance-items.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds | https://www.safcodental.com/media/catalog/product/c/l/clearance-items.jpg?optimize=medium&fit=bounds&height=265&width=265&canvas=265:265 | https://www.safcodental.com/media/catalog/product/c/l/clearance-items.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700",,0,sutures-surgical-products,2026-05-07T01:31:51.154620+00:00
2822920-C,"Cavitron Bobcat Pro 25kHz ultrasonic scaler unit - open box, clearance",2822920-C,BCCCC,Clearance item,2822920-C,"Cavitron Bobcat Pro 25kHz ultrasonic scaler unit - open box, clearance",81201,,Safco Dental,"Cavitron Bobcat Pro 25kHz ultrasonic scaler unit - open box, clearance",,,,529.25,529.250000,,in_stock,In stock,"Grab incredible deals on open-box clearance items. Shop now and save big on top-quality products. Limited stock available, so act fast! Perfect for quality and savings. These like-new items at unbeatable prices! Fully inspected and in excellent working condition. These items are all eligible for our generous Safco return and warranty policy. Please note, some may be missing minor, non-essential accessories – please contact your account manager to find out the details of the items you are interested in.",Clearance > Safco Clearance,https://www.safcodental.com/product/clearance-item,"https://www.safcodental.com/media/catalog/product/c/l/clearance-items.jpg?width=265&height=265&canvas=265,265&optimize=medium&fit=bounds | https://www.safcodental.com/media/catalog/product/c/l/clearance-items.jpg?optimize=medium&fit=bounds&height=265&width=265&canvas=265:265 | https://www.safcodental.com/media/catalog/product/c/l/clearance-items.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700",,0,sutures-surgical-products,2026-05-07T01:31:51.154620+00:00
